,Attributes,Description,age
0,Latin Name,Litsea calophylla,
1,Common Name,Tagutugan,
2,Family,Lauraceae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,It is a tropical plant. Not known in a truly wild situation,
6,Range,Southeast Asia - Indonesia.,
7,Edibility Rating,(3 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Litsea_calophylla1.JPEG, https://pfaf.org/../Admin/PlantImages/Litsea_calophylla2.JPEG",
13,Summary,,
14,Physical Characteristics,"Litsea calophylla is an evergreen Tree growing to 15 m (49ft) by 12 m (39ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,Litsea sebifera Bl.; Litsea tetracantha Mirb.;,
16,Plant Habitats,,
17,Edible Parts,Fruit: ,
18,Edible Uses,,
19,Edible Uses Description,"Edible Portion: Fruit[317 ]. Fleshy. The depressed-globose fruit is 2 - 3cm in diameter, containing a large seed 1 - 2cm long[680 ]. The fruit are eaten raw and used to make jelly.",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None Known,
22,Other Uses,,
23,Other Uses Description,"An oil extracted from the seeds, is used for making candles[317 , 680 ]. Carbon Farming - Industrial Crop: oil.",
24,Cultivation Details,"Industrial Crop: Oil: Materials, chemicals and energy include bioplastics, biomass, glycerin, soaps, lubricants, paints, biodiesel. Oilseed crop types.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits.",
25,Cultivation Details Description,Industrial Crop: Oil  Management: Standard  Regional CropClimate: tropical. Humidity: humid. The flowers of this species are functionally hermaphrodite[680 ]. Carbon Farming - Cultivation: regional crop. Management: standard.,
26,Plant Propagation,Seed,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
